channel,cart_x,cart_y,cart_z,x,y
FP1,-0.0293,0.0903,0.0368,-22.7802,70.1101
F3,-0.0518,0.0639,0.0876,-34.3787,42.4542
F7,-0.0768,0.0558,0.0368,-59.6393,43.3305
FC3,-0.0643,0.0342,0.1012,-41.3660,21.9947
C3,-0.0683,-0.0000,0.1061,-43.5348,-0.0000
C5,-0.0887,-0.0000,0.0742,-60.9395,-0.0000
P3,-0.0518,-0.0639,0.0876,-34.3787,-42.4542
P7,-0.0768,-0.0558,0.0368,-59.6393,-43.3305
P9,-0.0697,-0.0506,0.0000,-65.9640,-47.9256
PO7,-0.0558,-0.0768,0.0368,-43.3305,-59.6393
PO3,-0.0386,-0.0828,0.0663,-27.1064,-58.1298
O1,-0.0293,-0.0903,0.0368,-22.7802,-70.1101
Oz,0.0000,-0.0949,0.0368,0.0000,-73.7182
Pz,0.0000,-0.0683,0.1061,0.0000,-43.5348
CPz,0.0000,-0.0371,0.1276,0.0000,-22.6803
FP2,0.0293,0.0903,0.0368,22.7802,70.1101
Fz,0.0000,0.0683,0.1061,0.0000,43.5348
F4,0.0518,0.0639,0.0876,34.3787,42.4542
F8,0.0768,0.0558,0.0368,59.6393,43.3305
FC4,0.0643,0.0342,0.1012,41.3660,21.9947
FCz,0.0000,0.0371,0.1276,0.0000,22.6803
Cz,0.0000,0.0000,0.1351,0.0000,0.0000
C4,0.0683,0.0000,0.1061,43.5348,0.0000
C6,0.0887,0.0000,0.0742,60.9395,0.0000
P4,0.0518,-0.0639,0.0876,34.3787,-42.4542
P8,0.0768,-0.0558,0.0368,59.6393,-43.3305
P10,0.0697,-0.0506,0.0000,65.9640,-47.9256
PO8,0.0558,-0.0768,0.0368,43.3305,-59.6393
PO4,0.0386,-0.0828,0.0663,27.1064,-58.1298
O2,0.0293,-0.0903,0.0368,22.7802,-70.1101
