participant_id,onset,duration,sample,trial_type,stim_file,value,N170
sub-004_task-N170_eeg,8.6152,0.3000,8823,stimulus,NA,39,5.4519
sub-004_task-N170_eeg,11.5977,0.3000,11877,stimulus,NA,28,5.8610
sub-004_task-N170_eeg,14.7295,0.3000,15084,stimulus,NA,79,-5.6274
sub-004_task-N170_eeg,17.7451,0.3000,18172,stimulus,NA,21,1.9521
sub-004_task-N170_eeg,20.7939,0.3000,21294,stimulus,NA,76,2.8141
sub-004_task-N170_eeg,23.8096,0.3000,24382,stimulus,NA,8,1.6845
sub-004_task-N170_eeg,25.2930,0.3000,25901,stimulus,NA,36,-15.3268
sub-004_task-N170_eeg,26.8418,0.3000,27487,stimulus,NA,32,-2.8773
sub-004_task-N170_eeg,28.2920,0.3000,28972,stimulus,NA,33,-2.0756
sub-004_task-N170_eeg,31.3408,0.3000,32094,stimulus,NA,73,0.8981
sub-004_task-N170_eeg,32.8730,0.3000,33663,stimulus,NA,12,-3.6849
sub-004_task-N170_eeg,34.3066,0.3000,35131,stimulus,NA,14,-3.9060
sub-004_task-N170_eeg,38.6543,0.3000,39583,stimulus,NA,13,7.2204
sub-004_task-N170_eeg,43.2363,0.3000,44275,stimulus,NA,23,-12.1720
sub-004_task-N170_eeg,47.8848,0.3000,49035,stimulus,NA,47,-1.5658
sub-004_task-N170_eeg,49.2842,0.3000,50468,stimulus,NA,72,3.5453
sub-004_task-N170_eeg,52.3662,0.3000,53624,stimulus,NA,49,-12.6535
sub-004_task-N170_eeg,56.7148,0.3000,58077,stimulus,NA,55,10.8391
sub-004_task-N170_eeg,58.1807,0.3000,59578,stimulus,NA,61,-0.8440
sub-004_task-N170_eeg,59.7305,0.3000,61165,stimulus,NA,67,8.7436
sub-004_task-N170_eeg,61.2461,0.3000,62717,stimulus,NA,30,-1.2919
sub-004_task-N170_eeg,65.8281,0.3000,67409,stimulus,NA,62,2.3605
sub-004_task-N170_eeg,75.0586,0.3000,76861,stimulus,NA,4,-2.4360
sub-004_task-N170_eeg,76.5078,0.3000,78345,stimulus,NA,70,1.7796
sub-004_task-N170_eeg,77.9902,0.3000,79863,stimulus,NA,64,3.7372
sub-004_task-N170_eeg,79.5234,0.3000,81433,stimulus,NA,38,-0.3367
sub-004_task-N170_eeg,82.3721,0.3000,84350,stimulus,NA,29,-6.5135
sub-004_task-N170_eeg,83.7715,0.3000,85783,stimulus,NA,80,6.1433
sub-004_task-N170_eeg,86.8379,0.3000,88923,stimulus,NA,45,-6.6255
sub-004_task-N170_eeg,91.2363,0.3000,93427,stimulus,NA,56,3.8545
sub-004_task-N170_eeg,92.7188,0.3000,94945,stimulus,NA,25,-4.7760
sub-004_task-N170_eeg,97.3506,0.3000,99688,stimulus,NA,57,-0.5247
sub-004_task-N170_eeg,98.7666,0.3000,101138,stimulus,NA,20,4.1343
sub-004_task-N170_eeg,100.2656,0.3000,102673,stimulus,NA,6,-1.4358
sub-004_task-N170_eeg,103.1650,0.3000,105642,stimulus,NA,5,0.9639
sub-004_task-N170_eeg,107.6465,0.3000,110231,stimulus,NA,11,NA
sub-004_task-N170_eeg,112.1455,0.3000,114838,stimulus,NA,58,4.8076
sub-004_task-N170_eeg,113.6611,0.3000,116390,stimulus,NA,1,-2.8162
sub-004_task-N170_eeg,121.1582,0.3000,124067,stimulus,NA,10,-1.2939
sub-004_task-N170_eeg,122.7080,0.3000,125654,stimulus,NA,63,-0.6728
sub-004_task-N170_eeg,124.1240,0.3000,127104,stimulus,NA,78,3.7664
